"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1991",9.026331,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1992",8.799062,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1993",8.768209,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1994",8.980591,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1995",9.06363,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1996",8.833968,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1997",8.960256,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1998",9.123059,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","1999",8.95822,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2000",9.292164,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2001",9.46055,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2002",9.255911,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2003",9.104682,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2004",9.128036,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2005",9.184709,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2006",8.89999,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2007",8.312415,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2008",8.432326,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2009",8.595926,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2010",8.546878,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2011",8.105651,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2012",8.024387,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2013",7.982447,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2014",7.984218,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2015",7.791142,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2016",7.894125,
"AUS","SELFEMPWEMP","MEN","PC_EMP","A","2017",7.967227,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1991",5.437706,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1992",5.277368,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1993",5.33914,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1994",5.524444,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1995",5.522766,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1996",5.423211,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1997",5.506339,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1998",5.539696,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","1999",5.208141,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2000",5.329222,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2001",5.734203,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2002",5.608345,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2003",5.453687,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2004",5.327032,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2005",5.353482,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2006",5.099369,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2007",4.971775,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2008",4.958927,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2009",4.625806,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2010",4.766609,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2011",4.601101,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2012",4.386547,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2013",4.343425,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2014",4.306011,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2015",4.353965,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",4.221757,
"AUS","SELFEMPWEMP","WOMEN","PC_EMP","A","2017",4.136927,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1995",6.287323,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1996",6.408862,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1997",6.391946,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1998",6.641573,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","1999",6.40047,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2000",6.428362,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2001",6.346719,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2002",6.920798,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2003",6.746575,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2004",5.886277,"B"
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2005",6.50314,"B"
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2006",6.502721,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2007",6.665397,"B"
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2008",6.324521,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2009",6.482369,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2010",6.432137,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2011",6.542453,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2012",6.477827,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2013",6.262011,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2014",6.584517,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2015",6.2296,
"AUT","SELFEMPWEMP","MEN","PC_EMP","A","2016",6.259429,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","1995",2.611465,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","1996",2.662208,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","1997",2.825766,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","1998",2.985454,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","1999",2.855536,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2000",3.05837,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2001",2.969319,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2002",2.990881,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2003",2.913376,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2004",2.243884,"B"
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2005",2.243666,"B"
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2006",2.527683,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2007",2.603074,"B"
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2008",2.579288,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2009",2.535536,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2010",2.50489,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2011",2.384149,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2012",2.292264,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2013",2.235579,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2014",2.358367,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2015",2.376495,
"AUT","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",2.485171,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1995",2.673158,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1996",2.658677,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1997",2.058758,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1998",2.473342,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","1999",5.870756,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2000",6.120895,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2001",6.145035,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2002",5.464434,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2003",5.602754,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2004",6.209474,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2005",6.365138,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2006",6.368352,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2007",6.204048,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2008",5.855579,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2009",6.168939,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2010",6.10869,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2011",5.947833,"B"
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2012",5.65464,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2013",5.922222,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2014",5.523413,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2015",5.828362,
"BEL","SELFEMPWEMP","MEN","PC_EMP","A","2016",5.634787,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1995",0.6358458,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1996",0.5613154,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1997",0.4372428,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1998",0.7969136,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","1999",2.289711,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2000",2.253554,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2001",1.972014,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2002",1.936425,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2003",2.009934,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2004",2.231147,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2005",2.208923,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2006",2.406273,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2007",2.231448,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2008",2.060864,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2009",2.24821,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2010",2.353816,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2011",1.871408,"B"
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2012",2.057975,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2013",2.247191,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2014",2.353334,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2015",2.373478,
"BEL","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",2.301305,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1990",8.278688,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1991",8.897109,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1992",8.826887,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1993",8.961823,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1994",8.27162,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1995",8.39026,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1996",8.169032,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1997",7.875279,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1998",7.525228,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","1999",7.511059,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2000",7.116666,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2001",6.94066,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2002",6.556785,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2003",6.580333,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2004",6.81501,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2005",6.930332,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2006",6.584817,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2007",6.593018,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2008",6.507701,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2009",6.616732,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2010",6.373622,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2011",6.054048,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2012",5.822841,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2013",5.906497,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2014",5.742006,
"CAN","SELFEMPWEMP","MEN","PC_EMP","A","2015",5.802604,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","1990",2.795833,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","1991",2.922908,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","1992",2.943758,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","1993",2.906241,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","1994",2.865674,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","1995",2.955914,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","1996",2.992147,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","1997",3.099298,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","1998",2.994687,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","1999",3.056877,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2000",3.137193,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2001",2.835568,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2002",2.806488,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2003",2.720466,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2004",2.813372,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2005",2.868005,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2006",2.848581,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2007",2.71973,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2008",2.646056,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2009",2.574894,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2010",2.494601,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2011",2.572186,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2012",2.351757,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2013",2.414784,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2014",2.404291,
"CAN","SELFEMPWEMP","WOMEN","PC_EMP","A","2015",2.502185,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","1997",5.504417,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","1998",5.628805,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","1999",5.79977,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2000",5.740146,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2001",5.688484,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2002",5.50675,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2003",5.793942,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2004",5.524819,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2005",5.031634,"B"
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2006",5.435586,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2007",5.096947,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2008",4.808681,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2009",5.020348,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2010",4.959128,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2011",4.863143,"B"
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2012",4.524655,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2013",4.390795,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2014",4.751221,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2015",4.716777,
"CZE","SELFEMPWEMP","MEN","PC_EMP","A","2016",4.166667,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","1997",2.17779,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","1998",2.24091,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","1999",2.14139,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2000",2.189961,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2001",2.142717,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2002",2.119348,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2003",2.133202,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2004",2.08724,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2005",1.981461,"B"
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2006",2.217918,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2007",1.855128,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2008",1.845106,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2009",1.922522,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2010",1.754897,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2011",1.79307,"B"
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2012",1.746368,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2013",1.834775,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2014",1.618001,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2015",1.787782,
"CZE","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",1.551826,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","1995",6.177091,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","1996",5.889768,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","1997",5.687335,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","1998",6.31299,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","1999",6.190115,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2000",6.565586,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2001",6.376307,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2002",6.123591,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2003",5.774076,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2004",5.266815,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2005",5.611641,"B"
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2006",5.825309,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2007",5.657534,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2008",5.633423,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2009",5.840546,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2010",5.275379,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2011",5.287173,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2012",5.221207,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2013",4.804805,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2014",4.898137,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2015",4.872159,
"DNK","SELFEMPWEMP","MEN","PC_EMP","A","2016",4.637601,"B"
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","1995",1.78911,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","1996",1.502347,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","1997",1.62413,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","1998",1.790532,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","1999",1.683176,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2000",1.48625,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2001",1.22108,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2002",1.731465,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2003",1.997897,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2004",1.311216,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2005",1.283464,"B"
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2006",1.772913,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2007",1.632402,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2008",1.655704,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2009",1.711435,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2010",1.598871,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2011",1.655708,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2012",1.491466,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2013",1.559392,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2014",1.600573,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2015",1.684774,
"DNK","SELFEMPWEMP","WOMEN","PC_EMP","A","2016",1.767001,"B"
"FIN","SELFEMPWEMP","MEN","PC_EMP","A","1995",4.869497,
"FIN","SELFEMPWEMP","MEN","PC_EMP","A","1996",5.706241,
"FIN","SELFEMPWEMP","MEN","PC_EMP","A","1997",6.719331,
"FIN","SELFEMPWEMP","MEN","PC_EMP","A","1998",5.136564,
